SourceFile,PageNumber,Col1,Col2,Col3,Col4,Col5
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,1,METRIC,VALUE,STATUS,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,1,Total Income (11 months),"EUR 54,505.99",Good,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,1,Real Expenses (excl. savings),"EUR 38,706.42",High,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,1,Theo Future Home Savings,"EUR 18,573.40",SAVINGS GOAL,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,1,Net Balance,"EUR -2,773.83",DEFICIT,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,1,Monthly Deficit,EUR -252.17,Critical,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,1,Health Score,15/100,POOR,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,2,METRIC,VALUE,,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,2,Total Saved for Theo,"EUR 18,573.40",,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,2,Number of Transactions,710,,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,2,Average per Transaction,EUR 26.16,,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,2,Monthly Average,EUR 1688.49,,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,2,As % of Income,34.1%,,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,3,METRIC,TOTAL (11 MONTHS),MONTHLY AVERAGE,,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,3,Income,"EUR 54,505.99","EUR 4,955.09",,
FINANCIAL_DIAGNOSTIC_REPORT_UPDATED.pdf,3,Real Expenses,"EUR 38,706.42","EUR 3,518.77",,
